paragrafnummer,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,ref,dephead,deprel
2,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,07,08,SS
2,fick,VB.PRT.AKT,|få|,|få..vb.1|,|få..1:0.938|få..3:0.062|,|,|,1,08,06,ET
2,från,PP,|från|,|från..pp.1|,|från..1:-1.000|,|,|,,09,08,RA
2,mina,PS.UTR+NEU.PLU.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,10,11,DT
2,kollegor,NN.UTR.PLU.IND.NOM,|kollega|,|kollega..nn.1|,|kollega..1:-1.000|,|koll..nn.1+lega..nn.1:3.860e-13|koll..nn.2+lega..nn.1:3.860e-13|kol..nn.1+lega..nn.1:2.602e-14|kola_2..vb.1+lega..nn.1:1.206e-23|kola..vb.1+lega..nn.1:1.206e-23|,|koll+legor|kol+legor|,0,11,09,PA
2,.,MAD,|,|,|,|,|,,12,02,IP
3,Den,DT.UTR.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,1,3,DT
3,nya,JJ.POS.UTR+NEU.SIN.DEF.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,0,2,3,AT
3,kaffebaren,NN.UTR.SIN.DEF.NOM,|kaffebar|,|kaffebar..nn.1|,|kaffebar..1:-1.000|,|kaffe..nn.1+bar..nn.2:1.186e-10|kaffe..nn.1+bar..nn.1:1.186e-10|,|kaffe+baren|,,3,6,SS
3,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,4,3,ET
3,grannskapet,NN.NEU.SIN.DEF.NOM,|grannskap|,|grannskap..nn.1|,|grannskap..1:-1.000|,|grann..nn.1+skap..nn.1:1.311e-12|granne..nn.1+skap..nn.1:1.311e-12|grann..av.1+skap..nn.1:4.873e-15|,|grann+skapet|grann+ska+pet|,,5,4,HD
3,serverar,VB.PRS.AKT,|servera|,|servera..vb.1|,|servera..1:-1.000|,|,|,0,6,0,ROOT
3,utsökt,PC.PRF.UTR.SIN.IND.NOM,|utsöka|utsökt|,|utsöka..vb.1|utsökt..av.1|,|utsöka..1:0.586|utsökt..1:0.414|,|ut..ab.1+söka..vb.1:3.012e-09|ut..ab.1+sökt..av.1:2.023e-11|,|ut+sökt|,-1,7,8,AT
3,espresso,NN.UTR.SIN.IND.NOM,|espresso|,|espresso..nn.1|,|espresso..1:-1.000|,|,|,,8,6,OO
3,.,MAD,|,|,|,|,|,,9,6,IP
4,Att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,01,07,SS
4,lyssna,VB.INF.AKT,|lyssna|,|lyssna..vb.1|,|lyssna..1:-1.000|,|,|,0,02,01,IF
4,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,03,02,AA
4,musik,NN.UTR.SIN.IND.NOM,|musik|,|musik..nn.1|,|musik..1:-1.000|,|,|,0,04,03,HD
4,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,05,02,OA
4,morgonen,NN.UTR.SIN.DEF.NOM,|morgon|,|morgon..nn.1|,|morgon..1:-1.000|,|mora..nn.1+gon..nn.1:1.371e-13|mor..nn.2+gon..nn.1:1.371e-13|mor..nn.1+gon..nn.1:1.371e-13|mora..nn.1+go..nn.2+nen..nn.1:2.522e-25|mor..nn.1+go..nn.2+nen..nn.1:2.522e-25|mor..nn.2+go..nn.1+n..nn.1:2.522e-25|mor..nn.2+go..nn.2+n..nn.1:2.522e-25|mor..nn.2+go..nn.1+nen..nn.1:2.522e-25|mor..nn.2+go..nn.2+nen..nn.1:2.522e-25|mor..nn.1+go..nn.1+n..nn.1:2.522e-25|mor..nn.1+go..nn.2+n..nn.1:2.522e-25|mora..nn.1+go..nn.1+n..nn.1:2.522e-25|mor..nn.1+go..nn.1+nen..nn.1:2.522e-25|mora..nn.1+go..nn.2+n..nn.1:2.522e-25|mora..nn.1+go..nn.1+nen..nn.1:2.522e-25|mor..nn.2+go..av.1+n..nn.1:9.768e-27|mor..nn.2+go..av.1+nen..nn.1:9.768e-27|mora..nn.1+go..av.1+nen..nn.1:9.768e-27|mor..nn.1+go..av.1+n..nn.1:9.768e-27|mor..nn.1+go..av.1+nen..nn.1:9.768e-27|mora..nn.1+go..av.1+n..nn.1:9.768e-27|,|mor+gonen|mor+go+nen|,0,06,05,PA
4,gör,VB.PRS.AKT,|göra|göra sig|,|göra..vb.1|göra_sig..vbm.1|,|göra..1:0.790|göra..2:0.145|göra..3:0.065|göra_sig..1:-1.000|göra_sig..2:-1.000|göra_sig..3:-1.000|,|,|,0,07,0,ROOT
4,mig,PN.UTR.SIN.DEF.OBJ,|jag|göra sig:07|,|jag..pn.1|göra_sig..vbm.1:07|,|jag..1:-1.000|göra_sig..1:07:-1.000|göra_sig..2:07:-1.000|göra_sig..3:07:-1.000|,|,|,,08,07,OO
4,glad,JJ.POS.UTR.SIN.IND.NOM,|glad|,|glad..av.1|,|glad..1:-1.000|,|,|,1,09,07,OP
4,hela,JJ.POS.UTR+NEU.SIN.DEF.NOM,|hel|hela dagen|,|hel..av.1|hela_dagen..abm.1|,|hel..1:0.725|hel..2:0.275|hela_dagen..1:-1.000|,|,|,0,10,11,DT
4,dagen,NN.UTR.SIN.DEF.NOM,|dag|hela dagen:10|,|dag..nn.1|hela_dagen..abm.1:10|,|dag..1:0.791|dag..2:0.209|hela_dagen..1:10:-1.000|,|,|,0,11,07,TA
4,.,MAD,|,|,|,|,|,,12,07,IP
5,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,01,02,SS
5,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0,02,0,ROOT
5,tacksam,JJ.POS.UTR.SIN.IND.NOM,|tacksam|,|tacksam..av.1|,|tacksam..1:0.989|tacksam..2:0.011|,|,|,1,03,02,SP
5,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,04,02,OA
5,de,DT.UTR+NEU.PLU.DEF,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,05,07,DT
5,lugna,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|lugn|,|lugn..av.1|,|lugn..1:0.937|lugn..3:0.063|,|,|,1,06,07,AT
5,stunderna,NN.UTR.PLU.DEF.NOM,|stund|,|stund..nn.1|,|stund..1:-1.000|,|,|,0,07,04,PA
5,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,08,09,SS
5,får,VB.PRS.AKT,|få|,|få..vb.1|,|få..1:0.771|få..3:0.229|,|,|,1,09,07,ET
5,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,10,09,OA
5,mig,PN.UTR.SIN.DEF.OBJ,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,11,10,PA
5,själv,JJ.POS.UTR.SIN.IND.NOM,|själv|,|själv..pn.1|,|själv..1:-1.000|själv..2:-1.000|själv..3:-1.000|,|,|,,12,11,PT
5,.,MAD,|,|,|,|,|,,13,02,IP
6,En,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,01,03,DT
6,främmande,JJ.POS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|främmande|,|främmande..av.1|,|främmande..1:-1.000|,|,|,0,02,03,AT
6,person,NN.UTR.SIN.IND.NOM,|person|,|person..nn.1|,|person..1:-1.000|,|pers..nn.1+o..nn.1:4.421e-19|pers..nn.2+o..nn.1:4.421e-19|,|pers+on|,0,03,04,SS
6,hjälpte,VB.PRT.AKT,|hjälpa|,|hjälpa..vb.1|,|hjälpa..1:-1.000|,|,|,1,04,0,ROOT
6,mig,PN.UTR.SIN.DEF.OBJ,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,05,04,OO
6,när,HA,|när|,|när..ab.1|,|när..1:0.901|nära..1:0.099|,|,|,,06,08,TA
6,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,07,08,SS
6,tappade,VB.PRT.AKT,|tappa|,|tappa..vb.1|,|tappa..1:0.676|tappa..3:0.264|tappa..2:0.060|,|,|,-1,08,04,TA
6,mina,PS.UTR+NEU.PLU.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,09,10,DT
6,saker,NN.UTR.PLU.IND.NOM,|sak|,|sak..nn.1|,|sak..1:0.983|sak..3:0.014|sak..2:0.003|,|,|,0,10,08,OO
6,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,11,08,OA
6,gatan,NN.UTR.SIN.DEF.NOM,|gata|,|gata..nn.1|,|gata..1:-1.000|,|,|,0,12,11,PA
6,.,MAD,|,|,|,|,|,,13,04,IP
7,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS
7,klarade,VB.PRT.AKT,|klara|,|klara..vb.1|klara..vb.2|,|klara..1:0.815|klara..2:0.102|klara..3:0.083|,|,|,1,2,0,ROOT
7,körkortstestet,NN.NEU.SIN.DEF.NOM,|körkortstest|,|,|,|körkort..nn.1+test..nn.1:7.838e-13|köra..vb.1+kort..nn.1+test..nn.1:7.084e-19|kör..nn.1+kort..nn.1+test..nn.1:2.466e-19|,|körkorts+testet|kör+korts+testet|,,3,2,OO
7,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,4,2,OA
7,första,RO.NOM,|,|,|,|,|,,5,6,DT
7,försöket,NN.NEU.SIN.DEF.NOM,|försök|,|försök..nn.1|,|försök..2:0.552|försök..1:0.448|,|föra..vb.1+sök..nn.1:2.403e-14|för..nn.1+sök..nn.1:5.006e-17|före..nn.1+ök..nn.1:8.234e-22|,|för+söket|förs+öket|,0,6,4,PA
7,!,MAD,|,|,|,|,|,,7,2,IU
8,Helgens,NN.UTR.SIN.DEF.GEN,|helg|,|helg..nn.1|,|helg..1:-1.000|,|hel..av.1+gen..nn.1:2.740e-14|Helge..pm.1+n..nn.1:3.640e-16|hela..nn.1+gen..nn.1:1.759e-20|hela..vb.1+gen..nn.1:6.478e-22|Hel..pm.1+gen..nn.1:6.000e-24|,|hel+gens|Helge+ns|Hel+gens|,0,01,02,DT
8,utflykt,NN.UTR.SIN.IND.NOM,|utflykt|,|utflykt..nn.1|,|utflykt..1:-1.000|,|ut..ab.1+flykt..nn.2:5.752e-10|ut..ab.1+flykt..nn.1:5.752e-10|,|ut+flykt|,,02,05,SS
8,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,03,02,ET
8,landsbygden,NN.UTR.SIN.DEF.NOM,|landsbygd|,|landsbygd..nn.1|,|landsbygd..1:-1.000|,|land..nn.3+bygd..nn.1:4.727e-12|land..nn.2+bygd..nn.1:4.727e-12|land..nn.1+bygd..nn.1:4.727e-12|,|lands+bygden|,,04,03,PA
8,var,VB.PRT.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0,05,0,ROOT
8,precis,AB,|precis|,|precis..ab.1|,|precis..1:-1.000|,|,|,,06,05,CA
8,vad,HP.NEU.SIN.IND,|vad|,|vad..pn.1|,|vad..1:-1.000|,|,|,,07,09,OO
8,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,08,09,SS
8,behövde,VB.PRT.AKT,|behöva|,|behöva..vb.1|,|behöva..1:-1.000|,|,|,0,09,05,VG
8,.,MAD,|,|,|,|,|,,10,05,IP
9,Min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,01,02,DT
9,trädgård,NN.UTR.SIN.IND.NOM,|trädgård|,|trädgård..nn.1|,|trädgård..1:-1.000|,|träd..nn.1+gård..nn.2:5.873e-11|träd..nn.1+gård..nn.1:5.873e-11|träda..nn.1+gård..nn.1:5.873e-11|träda..nn.1+gård..nn.2:5.873e-11|trä..vb.1+gård..nn.1:1.196e-20|träda..vb.1+gård..nn.1:1.196e-20|träda..vb.2+gård..nn.1:1.196e-20|träda..vb.1+gård..nn.2:1.196e-20|träda..vb.2+gård..nn.2:1.196e-20|trä..vb.1+gård..nn.2:1.196e-20|,|träd+gård|,0,02,03,SS
9,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0,03,0,ROOT
9,full,JJ.POS.UTR.SIN.IND.NOM,|full|,|full..av.1|,|full..1:0.974|full..2:0.026|,|,|,0,04,03,SP
9,av,PP,|av|,|av..pp.1|,|av..1:-1.000|,|,|,,05,08,DT
9,färgglada,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|färgglad|,|färgglad..av.1|,|färgglad..1:-1.000|,|färg..nn.1+glad..av.1:5.450e-11|färg..nn.2+glad..av.1:5.450e-11|färga..vb.1+glad..av.1:3.532e-21|,|färg+glada|,,06,08,AT
9,blommor,NN.UTR.PLU.IND.NOM,|blomma|,|blomma..nn.1|,|blomma..1:-1.000|,|blom..nn.1+mor..nn.1:1.816e-11|blomma..nn.1+mor..nn.2:1.816e-11|blomma..nn.1+mor..nn.1:1.816e-11|blom..nn.1+mor..nn.2:1.816e-11|blomma..vb.1+mor..nn.1:4.277e-20|blomma..vb.1+mor..nn.2:4.277e-20|,|blom+mor|,0,07,08,CJ
9,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,08,03,OA
9,fjärilar,NN.UTR.PLU.IND.NOM,|fjäril|,|fjäril..nn.1|,|fjäril..1:-1.000|,|fjär..av.1+il..nn.1:5.390e-16|,|fjär+ilar|,,09,08,CJ
9,.,MAD,|,|,|,|,|,,10,03,IP
10,Att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,01,07,SS
10,tillbringa,VB.INF.AKT,|tillbringa|,|tillbringa..vb.1|,|tillbringa..1:-1.000|,|till..ab.1+bringa..vb.1:5.196e-11|,|till+bringa|,0,02,01,IF
10,tid,NN.UTR.SIN.IND.NOM,|tid|,|tid..nn.1|,|tid..1:-1.000|,|,|,0,03,02,OO
10,med,PP,|med|,|med..pp.1|,|med..1:-1.000|med..2:-1.000|,|,|,,04,02,OA
10,min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,05,06,DT
10,familj,NN.UTR.SIN.IND.NOM,|familj|,|familj..nn.1|,|familj..1:0.996|familj..2:0.004|,|,|,0,06,04,PA
10,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0,07,0,ROOT
10,det,DT.NEU.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,08,09,DT
10,bästa,JJ.SUV.UTR+NEU.SIN+PLU.DEF.NOM,|bra|bäst|god|,|bra..av.1|bäst..av.1|god..av.1|,|bäst..1:0.552|bra..3:0.204|god..1:0.163|god..3:0.042|bra..5:0.029|god..2:0.009|,|,|,1,09,07,SP
10,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,10,11,SS
10,vet,VB.PRS.AKT,|veta|,|veta..vb.1|,|veta..1:-1.000|,|,|,0,11,07,MS
10,.,MAD,|,|,|,|,|,,12,07,IP
11,Idag,AB,|idag|,|idag..ab.1|,|i_dag..1:-1.000|i_dag..2:-1.000|,|,|,,01,02,TA
11,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0,02,05,MS
11,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,03,02,SS
11,torsdag,NN.UTR.SIN.IND.NOM,|torsdag|,|torsdag..nn.1|,|torsdag..1:-1.000|,|,|,0,04,02,SP
11,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,05,0,ROOT
11,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,06,07,SS
11,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..1:0.710|ha..3:0.290|,|,|,0,07,05,MS
11,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,08,10,DT
11,ledig,JJ.POS.UTR.SIN.IND.NOM,|ledig|,|ledig..av.1|,|ledig..1:0.987|ledig..3:0.013|ledig..2:0.001|,|,|,1,09,10,AT
11,dag,NN.UTR.SIN.IND.NOM,|dag|,|dag..nn.1|,|dag..1:0.904|dag..2:0.096|,|,|,0,10,07,OO
11,imorgon,AB,|imorgon|,|imorgon..ab.1|,|i_morgon..1:-1.000|,|,|,,11,07,AA
11,.,MAD,|,|,|,|,|,,12,05,IP
12,Min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,DT
12,mobiltelefon,NN.UTR.SIN.IND.NOM,|mobiltelefon|,|mobiltelefon..nn.1|,|mobiltelefon..1:-1.000|,|mobil..av.1+telefon..nn.1:4.105e-11|mo..nn.1+biltelefon..nn.1:2.210e-14|mobil..nn.1+telefon..nn.1:1.422e-18|mo..nn.1+bil..nn.1+telefon..nn.1:2.407e-16|mo..nn.1+bila..nn.1+telefon..nn.1:2.407e-16|mobil..av.1+tele..sxc.1+fon..nn.1:3.116e-20|mo..nn.1+bila..vb.1+telefon..nn.1:6.958e-28|mobil..nn.1+tele..sxc.1+fon..nn.1:4.126e-28|,|mobil+telefon|mo+biltelefon|mo+bil+telefon|mobil+tele+fon|,,2,3,SS
12,behöver,VB.PRS.AKT,|behöva|,|behöva..vb.1|,|behöva..1:-1.000|,|,|,0,3,0,ROOT
12,laddas,VB.INF.SFO,|ladda|,|ladda..vb.1|,|ladda..1:0.987|ladda..2:0.013|ladda..3:0.000|,|,|,,4,3,VG
12,snart,AB.POS,|snar|snart|,|snar..av.1|snart..ab.1|,|snart..1:0.601|snar..1:0.344|snar..2:0.055|,|,|,,5,4,TA
12,.,MAD,|,|,|,|,|,,6,3,IP
13,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS
13,tänkte,VB.PRT.AKT,|tänka|,|tänka..vb.1|,|tänka..1:-1.000|,|,|,0,2,0,ROOT
13,baka,VB.INF.AKT,|baka|,|baka..vb.1|,|baka..1:-1.000|,|,|,,3,2,VG
13,bröd,NN.NEU.SIN.IND.NOM,|bröd|,|bröd..nn.1|,|bröd..1:-1.000|,|,|,0,4,3,OO
13,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,5,3,OA
13,helgen,NN.UTR.SIN.DEF.NOM,|helg|,|helg..nn.1|,|helg..1:-1.000|,|hel..av.1+gen..nn.1:3.432e-11|hela..nn.1+gen..nn.1:2.184e-13|hela..vb.1+gen..nn.1:7.208e-21|,|hel+gen|,0,6,5,PA
13,.,MAD,|,|,|,|,|,,7,2,IP
14,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,01,02,FS
14,finns,VB.PRS.SFO,|finna|finnas|,|finna..vb.1|finnas..vb.1|,|finnas..1:0.452|finna..1:0.427|finna..2:0.121|,|,|,0,02,0,ROOT
14,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,03,05,DT
14,ny,JJ.POS.UTR.SIN.IND.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,0,04,05,AT
14,utställning,NN.UTR.SIN.IND.NOM,|utställning|,|utställning..nn.1|,|utställning..1:-1.000|,|ut..ab.1+ställning..nn.1:4.103e-09|,|ut+ställning|,0,05,02,ES
14,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,06,05,ET
14,museet,NN.NEU.SIN.DEF.NOM,|museum|,|museum..nn.1|,|museum..1:-1.000|,|,|,0,07,06,HD
14,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,08,09,SS
14,vill,VB.PRS.AKT,|vilja|,|vilja..vb.1|,|vilja..1:-1.000|,|,|,0,09,05,ET
14,besöka,VB.INF.AKT,|besöka|,|besöka..vb.1|,|besöka..1:-1.000|,|,|,0,10,09,VG
14,.,MAD,|,|,|,|,|,,11,02,IP
15,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,01,02,SS
15,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..1:0.848|ha..3:0.152|,|,|,0,02,0,ROOT
15,planerat,VB.SUP.AKT,|planera|,|planera..vb.1|,|planera..1:-1.000|,|,|,0,03,02,VG
15,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,04,03,OO
15,städa,VB.INF.AKT,|städa|,|städa..vb.1|,|städa..1:-1.000|,|,|,,05,04,IF
15,mitt,PS.NEU.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,06,07,DT
15,rum,NN.NEU.SIN.IND.NOM,|rum|,|rum..nn.1|,|rum..1:0.845|rum..3:0.144|rum..4:0.011|,|,|,0,07,05,IO
15,denna,DT.UTR.SIN.DEF,|denna|,|denna..pn.1|,|denna..1:-1.000|,|,|,,08,09,DT
15,eftermiddag,NN.UTR.SIN.IND.NOM,|eftermiddag|,|eftermiddag..nn.1|,|eftermiddag..1:-1.000|,|efter..av.1+middag..nn.1:1.949e-19|,|efter+middag|,0,09,05,OO
15,.,MAD,|,|,|,|,|,,10,02,IP
16,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,01,02,SS
16,ska,VB.PRS.AKT,|skola|,|skola..vb.2|,|skola..4:-1.000|,|,|,0,02,0,ROOT
16,byta,VB.INF.AKT,|byta|,|byta..vb.1|,|byta..1:-1.000|,|by..nn.1+ta..vb.1:1.923e-10|,|by+ta|,0,03,02,VG
16,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,04,03,PL
16,vinterdäck,NN.NEU.SIN.IND.NOM,|vinterdäck|,|vinterdäck..nn.1|,|vinterdäck..1:-1.000|,|vinter..nn.1+däck..nn.2:5.070e-11|vinter..nn.1+däck..nn.1:5.070e-11|,|vinter+däck|,,05,04,HD
16,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,06,09,DT
16,bilen,NN.UTR.SIN.DEF.NOM,|bil|,|bil..nn.1|,|bil..1:-1.000|,|bi..nn.1+l..nn.1:9.238e-20|bi..av.1+l..nn.1:2.855e-28|,|bi+len|,0,07,06,HD
16,nästa,JJ.POS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|nästa|,|nästa..av.1|,|nästa..1:-1.000|,|,|,0,08,09,DT
16,vecka,NN.UTR.SIN.IND.NOM,|vecka|,|vecka..nn.1|,|vecka..1:-1.000|,|,|,0,09,03,TA
16,.,MAD,|,|,|,|,|,,10,02,IP
17,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,01,02,FS
17,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0,02,0,ROOT
17,vanligt,JJ.POS.NEU.SIN.IND.NOM,|vanlig|,|vanlig..av.1|,|vanlig..1:-1.000|,|,|,0,03,02,SP
17,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,04,02,ES
17,ha,VB.INF.AKT,|ha|,|ha..vb.1|,|ha..1:0.860|ha..3:0.140|,|,|,0,05,04,IF
17,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,06,07,DT
17,paraply,NN.NEU.SIN.IND.NOM,|paraply|,|paraply..nn.1|,|paraply..1:-1.000|,|par..nn.1+apa..nn.1+ly..nn.1:2.232e-18|para..vb.1+apa..nn.1+ly..nn.1:5.784e-29|,|par+ap+ly|,,07,05,OO
17,med,PP,|med|,|med..pp.1|,|med..1:-1.000|med..2:-1.000|,|,|,,08,07,ET
17,sig,PN.UTR+NEU.SIN+PLU.DEF.OBJ,|sig|,|sig..pn.1|,|sig..1:-1.000|,|,|,,09,08,PA
17,under,PP,|under|,|under..pp.1|,|under..1:-1.000|under..2:-1.000|,|,|,,10,05,TA
17,hösten,NN.UTR.SIN.DEF.NOM,|höst|,|höst..nn.1|,|höst..1:-1.000|,|hö..nn.1+sten..nn.2:3.309e-11|hö..nn.1+sten..nn.1:3.309e-11|,|hö+sten|,0,11,10,PA
17,.,MAD,|,|,|,|,|,,12,02,IP
18,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,01,02,SS
