paragrafnummer,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,deprel,sentimentval,category
2,grannskapet,NN.NEU.SIN.DEF.NOM,|grannskap|,|grannskap..nn.1|,|grannskap..1:-1.000|,|grann..nn.1+skap..nn.1:1.311e-12|granne..nn.1+skap..nn.1:1.311e-12|grann..av.1+skap..nn.1:4.873e-15|,|grann+skapet|grann+ska+pet|,,HD,1,egna meningar
2,serverar,VB.PRS.AKT,|servera|,|servera..vb.1|,|servera..1:-1.000|,|,|,neutral,ROOT,1,egna meningar
2,utsökt,PC.PRF.UTR.SIN.IND.NOM,|utsöka|utsökt|,|utsöka..vb.1|utsökt..av.1|,|utsöka..1:0.586|utsökt..1:0.414|,|ut..ab.1+söka..vb.1:3.012e-09|ut..ab.1+sökt..av.1:2.023e-11|,|ut+sökt|,negative,AT,1,egna meningar
2,espresso,NN.UTR.SIN.IND.NOM,|espresso|,|espresso..nn.1|,|espresso..1:-1.000|,|,|,,OO,1,egna meningar
2,.,MAD,|,|,|,|,|,,IP,1,egna meningar
3,Att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,SS,1,egna meningar
3,lyssna,VB.INF.AKT,|lyssna|,|lyssna..vb.1|,|lyssna..1:-1.000|,|,|,neutral,IF,1,egna meningar
3,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,AA,1,egna meningar
3,musik,NN.UTR.SIN.IND.NOM,|musik|,|musik..nn.1|,|musik..1:-1.000|,|,|,neutral,HD,1,egna meningar
3,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,OA,1,egna meningar
3,morgonen,NN.UTR.SIN.DEF.NOM,|morgon|,|morgon..nn.1|,|morgon..1:-1.000|,|mora..nn.1+gon..nn.1:1.371e-13|mor..nn.2+gon..nn.1:1.371e-13|mor..nn.1+gon..nn.1:1.371e-13|mora..nn.1+go..nn.2+nen..nn.1:2.522e-25|mor..nn.1+go..nn.2+nen..nn.1:2.522e-25|mor..nn.2+go..nn.1+n..nn.1:2.522e-25|mor..nn.2+go..nn.2+n..nn.1:2.522e-25|mor..nn.2+go..nn.1+nen..nn.1:2.522e-25|mor..nn.2+go..nn.2+nen..nn.1:2.522e-25|mor..nn.1+go..nn.1+n..nn.1:2.522e-25|mor..nn.1+go..nn.2+n..nn.1:2.522e-25|mora..nn.1+go..nn.1+n..nn.1:2.522e-25|mor..nn.1+go..nn.1+nen..nn.1:2.522e-25|mora..nn.1+go..nn.2+n..nn.1:2.522e-25|mora..nn.1+go..nn.1+nen..nn.1:2.522e-25|mor..nn.2+go..av.1+n..nn.1:9.768e-27|mor..nn.2+go..av.1+nen..nn.1:9.768e-27|mora..nn.1+go..av.1+nen..nn.1:9.768e-27|mor..nn.1+go..av.1+n..nn.1:9.768e-27|mor..nn.1+go..av.1+nen..nn.1:9.768e-27|mora..nn.1+go..av.1+n..nn.1:9.768e-27|,|mor+gonen|mor+go+nen|,neutral,PA,1,egna meningar
3,gör,VB.PRS.AKT,|göra|göra sig|,|göra..vb.1|göra_sig..vbm.1|,|göra..1:0.790|göra..2:0.145|göra..3:0.065|göra_sig..1:-1.000|göra_sig..2:-1.000|göra_sig..3:-1.000|,|,|,neutral,ROOT,1,egna meningar
3,mig,PN.UTR.SIN.DEF.OBJ,|jag|göra sig:07|,|jag..pn.1|göra_sig..vbm.1:07|,|jag..1:-1.000|göra_sig..1:07:-1.000|göra_sig..2:07:-1.000|göra_sig..3:07:-1.000|,|,|,,OO,1,egna meningar
3,glad,JJ.POS.UTR.SIN.IND.NOM,|glad|,|glad..av.1|,|glad..1:-1.000|,|,|,positive,OP,1,egna meningar
3,hela,JJ.POS.UTR+NEU.SIN.DEF.NOM,|hel|hela dagen|,|hel..av.1|hela_dagen..abm.1|,|hel..1:0.725|hel..2:0.275|hela_dagen..1:-1.000|,|,|,neutral,DT,1,egna meningar
3,dagen,NN.UTR.SIN.DEF.NOM,|dag|hela dagen:10|,|dag..nn.1|hela_dagen..abm.1:10|,|dag..1:0.791|dag..2:0.209|hela_dagen..1:10:-1.000|,|,|,neutral,TA,1,egna meningar
3,.,MAD,|,|,|,|,|,,IP,1,egna meningar
4,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,1,egna meningar
4,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,1,egna meningar
4,tacksam,JJ.POS.UTR.SIN.IND.NOM,|tacksam|,|tacksam..av.1|,|tacksam..1:0.989|tacksam..2:0.011|,|,|,positive,SP,1,egna meningar
4,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,OA,1,egna meningar
4,de,DT.UTR+NEU.PLU.DEF,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,1,egna meningar
4,lugna,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|lugn|,|lugn..av.1|,|lugn..1:0.937|lugn..3:0.063|,|,|,positive,AT,1,egna meningar
4,stunderna,NN.UTR.PLU.DEF.NOM,|stund|,|stund..nn.1|,|stund..1:-1.000|,|,|,neutral,PA,1,egna meningar
4,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,1,egna meningar
4,får,VB.PRS.AKT,|få|,|få..vb.1|,|få..1:0.771|få..3:0.229|,|,|,positive,ET,1,egna meningar
4,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,OA,1,egna meningar
4,mig,PN.UTR.SIN.DEF.OBJ,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,PA,1,egna meningar
4,själv,JJ.POS.UTR.SIN.IND.NOM,|själv|,|själv..pn.1|,|själv..1:-1.000|själv..2:-1.000|själv..3:-1.000|,|,|,,PT,1,egna meningar
4,.,MAD,|,|,|,|,|,,IP,1,egna meningar
5,En,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,1,egna meningar
5,främmande,JJ.POS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|främmande|,|främmande..av.1|,|främmande..1:-1.000|,|,|,neutral,AT,1,egna meningar
5,person,NN.UTR.SIN.IND.NOM,|person|,|person..nn.1|,|person..1:-1.000|,|pers..nn.1+o..nn.1:4.421e-19|pers..nn.2+o..nn.1:4.421e-19|,|pers+on|,neutral,SS,1,egna meningar
5,hjälpte,VB.PRT.AKT,|hjälpa|,|hjälpa..vb.1|,|hjälpa..1:-1.000|,|,|,positive,ROOT,1,egna meningar
5,mig,PN.UTR.SIN.DEF.OBJ,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,OO,1,egna meningar
5,när,HA,|när|,|när..ab.1|,|när..1:0.901|nära..1:0.099|,|,|,,TA,1,egna meningar
5,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,1,egna meningar
5,tappade,VB.PRT.AKT,|tappa|,|tappa..vb.1|,|tappa..1:0.676|tappa..3:0.264|tappa..2:0.060|,|,|,negative,TA,1,egna meningar
5,mina,PS.UTR+NEU.PLU.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,DT,1,egna meningar
5,saker,NN.UTR.PLU.IND.NOM,|sak|,|sak..nn.1|,|sak..1:0.983|sak..3:0.014|sak..2:0.003|,|,|,neutral,OO,1,egna meningar
5,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,OA,1,egna meningar
5,gatan,NN.UTR.SIN.DEF.NOM,|gata|,|gata..nn.1|,|gata..1:-1.000|,|,|,neutral,PA,1,egna meningar
5,.,MAD,|,|,|,|,|,,IP,1,egna meningar
6,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,1,egna meningar
6,klarade,VB.PRT.AKT,|klara|,|klara..vb.1|klara..vb.2|,|klara..1:0.815|klara..2:0.102|klara..3:0.083|,|,|,positive,ROOT,1,egna meningar
6,körkortstestet,NN.NEU.SIN.DEF.NOM,|körkortstest|,|,|,|körkort..nn.1+test..nn.1:7.838e-13|köra..vb.1+kort..nn.1+test..nn.1:7.084e-19|kör..nn.1+kort..nn.1+test..nn.1:2.466e-19|,|körkorts+testet|kör+korts+testet|,,OO,1,egna meningar
6,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,OA,1,egna meningar
6,första,RO.NOM,|,|,|,|,|,,DT,1,egna meningar
6,försöket,NN.NEU.SIN.DEF.NOM,|försök|,|försök..nn.1|,|försök..2:0.552|försök..1:0.448|,|föra..vb.1+sök..nn.1:2.403e-14|för..nn.1+sök..nn.1:5.006e-17|före..nn.1+ök..nn.1:8.234e-22|,|för+söket|förs+öket|,neutral,PA,1,egna meningar
6,!,MAD,|,|,|,|,|,,IU,1,egna meningar
7,Helgens,NN.UTR.SIN.DEF.GEN,|helg|,|helg..nn.1|,|helg..1:-1.000|,|hel..av.1+gen..nn.1:2.740e-14|Helge..pm.1+n..nn.1:3.640e-16|hela..nn.1+gen..nn.1:1.759e-20|hela..vb.1+gen..nn.1:6.478e-22|Hel..pm.1+gen..nn.1:6.000e-24|,|hel+gens|Helge+ns|Hel+gens|,neutral,DT,1,egna meningar
7,utflykt,NN.UTR.SIN.IND.NOM,|utflykt|,|utflykt..nn.1|,|utflykt..1:-1.000|,|ut..ab.1+flykt..nn.2:5.752e-10|ut..ab.1+flykt..nn.1:5.752e-10|,|ut+flykt|,,SS,1,egna meningar
7,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,ET,1,egna meningar
7,landsbygden,NN.UTR.SIN.DEF.NOM,|landsbygd|,|landsbygd..nn.1|,|landsbygd..1:-1.000|,|land..nn.3+bygd..nn.1:4.727e-12|land..nn.2+bygd..nn.1:4.727e-12|land..nn.1+bygd..nn.1:4.727e-12|,|lands+bygden|,,PA,1,egna meningar
7,var,VB.PRT.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,1,egna meningar
7,precis,AB,|precis|,|precis..ab.1|,|precis..1:-1.000|,|,|,,CA,1,egna meningar
7,vad,HP.NEU.SIN.IND,|vad|,|vad..pn.1|,|vad..1:-1.000|,|,|,,OO,1,egna meningar
7,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,1,egna meningar
7,behövde,VB.PRT.AKT,|behöva|,|behöva..vb.1|,|behöva..1:-1.000|,|,|,neutral,VG,1,egna meningar
7,.,MAD,|,|,|,|,|,,IP,1,egna meningar
8,Min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,DT,1,egna meningar
8,trädgård,NN.UTR.SIN.IND.NOM,|trädgård|,|trädgård..nn.1|,|trädgård..1:-1.000|,|träd..nn.1+gård..nn.2:5.873e-11|träd..nn.1+gård..nn.1:5.873e-11|träda..nn.1+gård..nn.1:5.873e-11|träda..nn.1+gård..nn.2:5.873e-11|trä..vb.1+gård..nn.1:1.196e-20|träda..vb.1+gård..nn.1:1.196e-20|träda..vb.2+gård..nn.1:1.196e-20|träda..vb.1+gård..nn.2:1.196e-20|träda..vb.2+gård..nn.2:1.196e-20|trä..vb.1+gård..nn.2:1.196e-20|,|träd+gård|,neutral,SS,1,egna meningar
8,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,1,egna meningar
8,full,JJ.POS.UTR.SIN.IND.NOM,|full|,|full..av.1|,|full..1:0.974|full..2:0.026|,|,|,neutral,SP,1,egna meningar
8,av,PP,|av|,|av..pp.1|,|av..1:-1.000|,|,|,,DT,1,egna meningar
8,färgglada,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|färgglad|,|färgglad..av.1|,|färgglad..1:-1.000|,|färg..nn.1+glad..av.1:5.450e-11|färg..nn.2+glad..av.1:5.450e-11|färga..vb.1+glad..av.1:3.532e-21|,|färg+glada|,,AT,1,egna meningar
8,blommor,NN.UTR.PLU.IND.NOM,|blomma|,|blomma..nn.1|,|blomma..1:-1.000|,|blom..nn.1+mor..nn.1:1.816e-11|blomma..nn.1+mor..nn.2:1.816e-11|blomma..nn.1+mor..nn.1:1.816e-11|blom..nn.1+mor..nn.2:1.816e-11|blomma..vb.1+mor..nn.1:4.277e-20|blomma..vb.1+mor..nn.2:4.277e-20|,|blom+mor|,neutral,CJ,1,egna meningar
8,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,OA,1,egna meningar
8,fjärilar,NN.UTR.PLU.IND.NOM,|fjäril|,|fjäril..nn.1|,|fjäril..1:-1.000|,|fjär..av.1+il..nn.1:5.390e-16|,|fjär+ilar|,,CJ,1,egna meningar
8,.,MAD,|,|,|,|,|,,IP,1,egna meningar
9,Att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,SS,1,egna meningar
9,tillbringa,VB.INF.AKT,|tillbringa|,|tillbringa..vb.1|,|tillbringa..1:-1.000|,|till..ab.1+bringa..vb.1:5.196e-11|,|till+bringa|,neutral,IF,1,egna meningar
9,tid,NN.UTR.SIN.IND.NOM,|tid|,|tid..nn.1|,|tid..1:-1.000|,|,|,neutral,OO,1,egna meningar
9,med,PP,|med|,|med..pp.1|,|med..1:-1.000|med..2:-1.000|,|,|,,OA,1,egna meningar
9,min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,DT,1,egna meningar
9,familj,NN.UTR.SIN.IND.NOM,|familj|,|familj..nn.1|,|familj..1:0.996|familj..2:0.004|,|,|,neutral,PA,1,egna meningar
9,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,1,egna meningar
9,det,DT.NEU.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,DT,1,egna meningar
9,bästa,JJ.SUV.UTR+NEU.SIN+PLU.DEF.NOM,|bra|bäst|god|,|bra..av.1|bäst..av.1|god..av.1|,|bäst..1:0.552|bra..3:0.204|god..1:0.163|god..3:0.042|bra..5:0.029|god..2:0.009|,|,|,positive,SP,1,egna meningar
9,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,1,egna meningar
9,vet,VB.PRS.AKT,|veta|,|veta..vb.1|,|veta..1:-1.000|,|,|,neutral,MS,1,egna meningar
9,.,MAD,|,|,|,|,|,,IP,1,egna meningar
10,Idag,AB,|idag|,|idag..ab.1|,|i_dag..1:-1.000|i_dag..2:-1.000|,|,|,,TA,1,egna meningar
10,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,MS,1,egna meningar
10,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,SS,1,egna meningar
10,torsdag,NN.UTR.SIN.IND.NOM,|torsdag|,|torsdag..nn.1|,|torsdag..1:-1.000|,|,|,neutral,SP,1,egna meningar
10,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,ROOT,1,egna meningar
10,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,1,egna meningar
10,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..1:0.710|ha..3:0.290|,|,|,neutral,MS,1,egna meningar
10,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,1,egna meningar
10,ledig,JJ.POS.UTR.SIN.IND.NOM,|ledig|,|ledig..av.1|,|ledig..1:0.987|ledig..3:0.013|ledig..2:0.001|,|,|,positive,AT,1,egna meningar
10,dag,NN.UTR.SIN.IND.NOM,|dag|,|dag..nn.1|,|dag..1:0.904|dag..2:0.096|,|,|,neutral,OO,1,egna meningar
10,imorgon,AB,|imorgon|,|imorgon..ab.1|,|i_morgon..1:-1.000|,|,|,,AA,1,egna meningar
10,.,MAD,|,|,|,|,|,,IP,1,egna meningar
11,Min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,DT,0,egna meningar
11,mobiltelefon,NN.UTR.SIN.IND.NOM,|mobiltelefon|,|mobiltelefon..nn.1|,|mobiltelefon..1:-1.000|,|mobil..av.1+telefon..nn.1:4.105e-11|mo..nn.1+biltelefon..nn.1:2.210e-14|mobil..nn.1+telefon..nn.1:1.422e-18|mo..nn.1+bil..nn.1+telefon..nn.1:2.407e-16|mo..nn.1+bila..nn.1+telefon..nn.1:2.407e-16|mobil..av.1+tele..sxc.1+fon..nn.1:3.116e-20|mo..nn.1+bila..vb.1+telefon..nn.1:6.958e-28|mobil..nn.1+tele..sxc.1+fon..nn.1:4.126e-28|,|mobil+telefon|mo+biltelefon|mo+bil+telefon|mobil+tele+fon|,,SS,0,egna meningar
11,behöver,VB.PRS.AKT,|behöva|,|behöva..vb.1|,|behöva..1:-1.000|,|,|,neutral,ROOT,0,egna meningar
11,laddas,VB.INF.SFO,|ladda|,|ladda..vb.1|,|ladda..1:0.987|ladda..2:0.013|ladda..3:0.000|,|,|,,VG,0,egna meningar
11,snart,AB.POS,|snar|snart|,|snar..av.1|snart..ab.1|,|snart..1:0.601|snar..1:0.344|snar..2:0.055|,|,|,,TA,0,egna meningar
11,.,MAD,|,|,|,|,|,,IP,0,egna meningar
12,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,0,egna meningar
12,tänkte,VB.PRT.AKT,|tänka|,|tänka..vb.1|,|tänka..1:-1.000|,|,|,neutral,ROOT,0,egna meningar
12,baka,VB.INF.AKT,|baka|,|baka..vb.1|,|baka..1:-1.000|,|,|,,VG,0,egna meningar
12,bröd,NN.NEU.SIN.IND.NOM,|bröd|,|bröd..nn.1|,|bröd..1:-1.000|,|,|,neutral,OO,0,egna meningar
12,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,OA,0,egna meningar
12,helgen,NN.UTR.SIN.DEF.NOM,|helg|,|helg..nn.1|,|helg..1:-1.000|,|hel..av.1+gen..nn.1:3.432e-11|hela..nn.1+gen..nn.1:2.184e-13|hela..vb.1+gen..nn.1:7.208e-21|,|hel+gen|,neutral,PA,0,egna meningar
12,.,MAD,|,|,|,|,|,,IP,0,egna meningar
13,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,FS,0,egna meningar
13,finns,VB.PRS.SFO,|finna|finnas|,|finna..vb.1|finnas..vb.1|,|finnas..1:0.452|finna..1:0.427|finna..2:0.121|,|,|,neutral,ROOT,0,egna meningar
13,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,0,egna meningar
13,ny,JJ.POS.UTR.SIN.IND.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,neutral,AT,0,egna meningar
13,utställning,NN.UTR.SIN.IND.NOM,|utställning|,|utställning..nn.1|,|utställning..1:-1.000|,|ut..ab.1+ställning..nn.1:4.103e-09|,|ut+ställning|,neutral,ES,0,egna meningar
13,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,ET,0,egna meningar
13,museet,NN.NEU.SIN.DEF.NOM,|museum|,|museum..nn.1|,|museum..1:-1.000|,|,|,neutral,HD,0,egna meningar
13,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,0,egna meningar
13,vill,VB.PRS.AKT,|vilja|,|vilja..vb.1|,|vilja..1:-1.000|,|,|,neutral,ET,0,egna meningar
13,besöka,VB.INF.AKT,|besöka|,|besöka..vb.1|,|besöka..1:-1.000|,|,|,neutral,VG,0,egna meningar
13,.,MAD,|,|,|,|,|,,IP,0,egna meningar
14,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,0,egna meningar
14,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..1:0.848|ha..3:0.152|,|,|,neutral,ROOT,0,egna meningar
14,planerat,VB.SUP.AKT,|planera|,|planera..vb.1|,|planera..1:-1.000|,|,|,neutral,VG,0,egna meningar
14,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,OO,0,egna meningar
14,städa,VB.INF.AKT,|städa|,|städa..vb.1|,|städa..1:-1.000|,|,|,,IF,0,egna meningar
14,mitt,PS.NEU.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,DT,0,egna meningar
14,rum,NN.NEU.SIN.IND.NOM,|rum|,|rum..nn.1|,|rum..1:0.845|rum..3:0.144|rum..4:0.011|,|,|,neutral,IO,0,egna meningar
14,denna,DT.UTR.SIN.DEF,|denna|,|denna..pn.1|,|denna..1:-1.000|,|,|,,DT,0,egna meningar
14,eftermiddag,NN.UTR.SIN.IND.NOM,|eftermiddag|,|eftermiddag..nn.1|,|eftermiddag..1:-1.000|,|efter..av.1+middag..nn.1:1.949e-19|,|efter+middag|,neutral,OO,0,egna meningar
14,.,MAD,|,|,|,|,|,,IP,0,egna meningar
15,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,0,egna meningar
15,ska,VB.PRS.AKT,|skola|,|skola..vb.2|,|skola..4:-1.000|,|,|,neutral,ROOT,0,egna meningar
15,byta,VB.INF.AKT,|byta|,|byta..vb.1|,|byta..1:-1.000|,|by..nn.1+ta..vb.1:1.923e-10|,|by+ta|,neutral,VG,0,egna meningar
15,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,PL,0,egna meningar
15,vinterdäck,NN.NEU.SIN.IND.NOM,|vinterdäck|,|vinterdäck..nn.1|,|vinterdäck..1:-1.000|,|vinter..nn.1+däck..nn.2:5.070e-11|vinter..nn.1+däck..nn.1:5.070e-11|,|vinter+däck|,,HD,0,egna meningar
15,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,DT,0,egna meningar
15,bilen,NN.UTR.SIN.DEF.NOM,|bil|,|bil..nn.1|,|bil..1:-1.000|,|bi..nn.1+l..nn.1:9.238e-20|bi..av.1+l..nn.1:2.855e-28|,|bi+len|,neutral,HD,0,egna meningar
15,nästa,JJ.POS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|nästa|,|nästa..av.1|,|nästa..1:-1.000|,|,|,neutral,DT,0,egna meningar
15,vecka,NN.UTR.SIN.IND.NOM,|vecka|,|vecka..nn.1|,|vecka..1:-1.000|,|,|,neutral,TA,0,egna meningar
15,.,MAD,|,|,|,|,|,,IP,0,egna meningar
16,Det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,FS,0,egna meningar
16,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,neutral,ROOT,0,egna meningar
16,vanligt,JJ.POS.NEU.SIN.IND.NOM,|vanlig|,|vanlig..av.1|,|vanlig..1:-1.000|,|,|,neutral,SP,0,egna meningar
16,att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,ES,0,egna meningar
16,ha,VB.INF.AKT,|ha|,|ha..vb.1|,|ha..1:0.860|ha..3:0.140|,|,|,neutral,IF,0,egna meningar
16,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,0,egna meningar
16,paraply,NN.NEU.SIN.IND.NOM,|paraply|,|paraply..nn.1|,|paraply..1:-1.000|,|par..nn.1+apa..nn.1+ly..nn.1:2.232e-18|para..vb.1+apa..nn.1+ly..nn.1:5.784e-29|,|par+ap+ly|,,OO,0,egna meningar
16,med,PP,|med|,|med..pp.1|,|med..1:-1.000|med..2:-1.000|,|,|,,ET,0,egna meningar
16,sig,PN.UTR+NEU.SIN+PLU.DEF.OBJ,|sig|,|sig..pn.1|,|sig..1:-1.000|,|,|,,PA,0,egna meningar
16,under,PP,|under|,|under..pp.1|,|under..1:-1.000|under..2:-1.000|,|,|,,TA,0,egna meningar
16,hösten,NN.UTR.SIN.DEF.NOM,|höst|,|höst..nn.1|,|höst..1:-1.000|,|hö..nn.1+sten..nn.2:3.309e-11|hö..nn.1+sten..nn.1:3.309e-11|,|hö+sten|,neutral,PA,0,egna meningar
16,.,MAD,|,|,|,|,|,,IP,0,egna meningar
17,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,SS,0,egna meningar
17,såg,VB.PRT.AKT,|se|,|se..vb.1|,|se..2:0.553|ses..1:0.192|se..1:0.154|se..5:0.074|se..4:0.019|se..3:0.007|se..6:0.002|,|,|,neutral,ROOT,0,egna meningar
17,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,DT,0,egna meningar
